,DS,Y
0,2016-01-01,0.0
1,2016-01-02,0.0
2,2016-01-03,0.0
3,2016-01-04,0.0
4,2016-01-05,0.0
5,2016-01-06,0.0
6,2016-01-07,0.0
7,2016-01-08,0.0
8,2016-01-09,0.0
9,2016-01-10,0.0
10,2016-01-11,5.0
11,2016-01-12,0.0
12,2016-01-13,21.0
13,2016-01-14,4.0
14,2016-01-15,13.0
15,2016-01-16,18.0
16,2016-01-17,50.0
17,2016-01-18,35.0
18,2016-01-19,12.0
19,2016-01-20,11.0
20,2016-01-21,9.0
21,2016-01-22,19.0
22,2016-01-23,38.0
23,2016-01-24,29.0
24,2016-01-25,50.0
25,2016-01-26,16.0
26,2016-01-27,10.0
27,2016-01-28,23.0
28,2016-01-29,10.0
29,2016-01-30,0.0
30,2016-01-31,5.0
31,2016-02-01,2.0
32,2016-02-02,24.0
33,2016-02-03,28.0
34,2016-02-04,26.0
35,2016-02-05,15.0
36,2016-02-06,17.0
37,2016-02-07,19.0
38,2016-02-08,34.0
39,2016-02-09,28.0
40,2016-02-10,19.0
41,2016-02-11,23.0
42,2016-02-12,10.0
43,2016-02-13,12.0
44,2016-02-14,19.0
45,2016-02-15,21.0
46,2016-02-16,10.0
47,2016-02-17,10.0
48,2016-02-18,1.0
49,2016-02-19,7.0
50,2016-02-20,0.0
51,2016-02-21,11.0
52,2016-02-22,15.0
53,2016-02-23,7.0
54,2016-02-24,0.0
55,2016-02-25,2.0
56,2016-02-26,1.0
57,2016-02-27,9.0
58,2016-02-28,16.0
59,2016-02-29,25.0
60,2016-03-01,11.0
61,2016-03-02,7.0
62,2016-03-03,0.0
63,2016-03-04,11.0
64,2016-03-05,2.0
65,2016-03-06,4.0
66,2016-03-07,14.0
67,2016-03-08,18.0
68,2016-03-09,17.0
69,2016-03-10,19.0
70,2016-03-11,19.0
71,2016-03-12,7.0
72,2016-03-13,2.0
73,2016-03-14,8.0
74,2016-03-15,14.0
75,2016-03-16,10.0
76,2016-03-17,13.0
77,2016-03-18,17.0
78,2016-03-19,7.0
79,2016-03-20,18.0
80,2016-03-21,6.0
81,2016-03-22,14.0
82,2016-03-23,0.0
83,2016-03-24,10.0
84,2016-03-25,2.0
85,2016-03-26,6.0
86,2016-03-27,8.0
87,2016-03-28,13.0
88,2016-03-29,12.0
89,2016-03-30,5.0
90,2016-03-31,14.0
91,2016-04-01,6.0
92,2016-04-02,7.0
93,2016-04-03,3.0
94,2016-04-04,7.0
95,2016-04-05,5.0
96,2016-04-06,3.0
97,2016-04-07,5.0
98,2016-04-08,7.0
99,2016-04-09,2.0
100,2016-04-10,13.0
101,2016-04-11,6.0
102,2016-04-12,1.0
103,2016-04-13,1.0
104,2016-04-14,1.0
105,2016-04-15,3.0
106,2016-04-16,2.0
107,2016-04-17,1.0
108,2016-04-18,1.0
109,2016-04-19,9.0
110,2016-04-20,3.0
111,2016-04-21,12.0
112,2016-04-22,5.0
113,2016-04-23,38.0
114,2016-04-24,2.0
115,2016-04-25,3.0
116,2016-04-26,1.0
117,2016-04-27,0.0
118,2016-04-28,4.0
119,2016-04-29,19.0
120,2016-04-30,17.0
121,2016-05-01,0.0
122,2016-05-02,3.0
123,2016-05-03,0.0
124,2016-05-04,2.0
125,2016-05-05,0.0
126,2016-05-06,4.0
127,2016-05-07,9.0
128,2016-05-08,8.0
129,2016-05-09,8.0
130,2016-05-10,4.0
131,2016-05-11,7.0
132,2016-05-12,4.0
133,2016-05-13,3.0
134,2016-05-14,15.0
135,2016-05-15,1.0
136,2016-05-16,0.0
137,2016-05-17,2.0
138,2016-05-18,4.0
139,2016-05-19,2.0
140,2016-05-20,0.0
141,2016-05-21,4.0
142,2016-05-22,4.0
143,2016-05-23,5.0
144,2016-05-24,1.0
145,2016-05-25,7.0
146,2016-05-26,6.0
147,2016-05-27,7.0
148,2016-05-28,4.0
149,2016-05-29,0.0
150,2016-05-30,13.0
151,2016-05-31,8.0
152,2016-06-01,4.0
153,2016-06-02,6.0
154,2016-06-03,12.0
155,2016-06-04,25.0
156,2016-06-05,13.0
157,2016-06-06,16.0
158,2016-06-07,5.0
159,2016-06-08,8.0
160,2016-06-09,16.0
