,DS,Y,Search,streaming,clickstream
1462,2020-01-02,9.0,0.0,0.0,0.0
1463,2020-01-03,38.0,0.0,0.0,0.0
1464,2020-01-04,29.0,0.0,0.0,0.0
1465,2020-01-05,18.0,0.0,0.0,0.0
1466,2020-01-06,13.0,0.0,0.0,0.0
1467,2020-01-07,17.0,0.0,0.0,0.0
1468,2020-01-08,7.0,0.0,0.0,0.0
1469,2020-01-09,4.0,0.0,0.0,0.0
1470,2020-01-10,8.0,0.0,0.0,0.0
1471,2020-01-11,1.0,0.0,0.0,0.0
1472,2020-01-12,3.0,0.0,0.0,0.0
1473,2020-01-13,5.0,0.0,0.0,0.0
1474,2020-01-14,2.0,0.0,0.0,0.0
1475,2020-01-15,6.0,0.0,1.0,0.0
1476,2020-01-16,3.0,0.0,0.0,0.0
1477,2020-01-17,6.0,0.0,0.0,0.0
1478,2020-01-18,17.0,0.0,0.0,0.0
1479,2020-01-19,21.0,0.0,1.0,0.0
1480,2020-01-20,2.0,0.0,0.0,0.0
1481,2020-01-21,11.0,0.0,0.0,0.0
1482,2020-01-22,19.0,0.0,0.0,0.0
1483,2020-01-23,9.0,0.0,0.0,0.0
1484,2020-01-24,8.0,0.0,0.0,0.0
1485,2020-01-25,9.0,0.0,0.0,0.0
1486,2020-01-26,19.0,0.0,1.0,0.0
1487,2020-01-27,12.0,0.0,0.0,0.0
1488,2020-01-28,31.0,0.0,0.0,0.0
1489,2020-01-29,34.0,0.0,0.0,0.0
1490,2020-01-30,14.0,0.0,0.0,0.0
1491,2020-01-31,14.0,0.0,0.0,0.0
1492,2020-02-01,31.0,0.0,0.0,0.0
1493,2020-02-02,29.0,0.0,0.0,0.0
1494,2020-02-03,20.0,0.0,0.0,0.0
1495,2020-02-04,15.0,0.0,0.0,0.0
1496,2020-02-05,25.0,0.0,0.0,0.0
1497,2020-02-06,14.0,0.0,0.0,0.0
1498,2020-02-07,26.0,0.0,0.0,0.0
1499,2020-02-08,20.0,0.0,0.0,0.0
1500,2020-02-09,23.0,0.0,0.0,0.0
1501,2020-02-10,14.0,0.0,0.0,0.0
1502,2020-02-11,14.0,0.0,0.0,0.0
1503,2020-02-12,26.0,0.0,0.0,0.0
1504,2020-02-13,20.0,0.0,0.0,0.0
1505,2020-02-14,38.0,0.0,0.0,0.0
1506,2020-02-15,38.0,0.0,0.0,0.0
1507,2020-02-16,36.0,0.0,0.0,0.0
1508,2020-02-17,14.0,0.0,0.0,0.0
1509,2020-02-18,30.0,0.0,0.0,0.0
1510,2020-02-19,12.0,0.0,1.0,0.0
1511,2020-02-20,42.0,0.0,0.0,0.0
1512,2020-02-21,12.0,0.0,0.0,0.0
1513,2020-02-22,19.0,0.0,0.0,0.0
1514,2020-02-23,15.0,0.0,0.0,0.0
1515,2020-02-24,25.0,0.0,0.0,0.0
1516,2020-02-25,15.0,0.0,0.0,0.0
1517,2020-02-26,26.0,0.0,0.0,0.0
1518,2020-02-27,35.0,0.0,0.0,0.0
1519,2020-02-28,18.0,0.0,0.0,0.0
1520,2020-02-29,25.0,0.0,0.0,0.0
1521,2020-03-01,21.0,0.0,1.0,0.0
1522,2020-03-02,34.0,0.0,0.0,0.0
1523,2020-03-03,25.0,0.0,0.0,0.0
1524,2020-03-04,30.0,0.0,0.0,0.0
1525,2020-03-05,25.0,0.0,0.0,0.0
1526,2020-03-06,8.0,0.0,0.0,0.0
1527,2020-03-07,7.0,0.0,0.0,0.0
1528,2020-03-08,3.0,0.0,0.0,0.0
1529,2020-03-09,11.0,0.0,0.0,0.0
1530,2020-03-10,7.0,0.0,0.0,0.0
1531,2020-03-11,13.0,0.0,0.0,0.0
1532,2020-03-12,8.0,0.0,0.0,0.0
1533,2020-03-13,6.0,0.0,0.0,0.0
1534,2020-03-14,13.0,0.0,0.0,0.0
1535,2020-03-15,16.0,0.0,0.0,0.0
1536,2020-03-16,10.0,0.0,0.0,0.0
1537,2020-03-17,7.0,0.0,0.0,0.0
1538,2020-03-18,5.0,0.0,0.0,0.0
1539,2020-03-19,7.0,0.0,0.0,0.0
1540,2020-03-20,9.0,0.0,0.0,0.0
1541,2020-03-21,2.0,0.0,0.0,0.0
1542,2020-03-22,7.0,0.0,0.0,0.0
1543,2020-03-23,14.0,0.0,0.0,0.0
1544,2020-03-24,37.0,0.0,0.0,0.0
1545,2020-03-25,27.0,0.0,1.0,0.0
1546,2020-03-26,17.0,0.0,0.0,0.0
1547,2020-03-27,15.0,0.0,0.0,0.0
1548,2020-03-28,18.0,0.0,0.0,0.0
1549,2020-03-29,17.0,0.0,0.0,0.0
1550,2020-03-30,4.0,0.0,1.0,0.0
1551,2020-03-31,7.0,0.0,0.0,0.0
1552,2020-04-01,12.0,0.0,0.0,0.0
1553,2020-04-02,6.0,0.0,0.0,0.0
1554,2020-04-03,6.0,0.0,0.0,0.0
1555,2020-04-04,0.0,0.0,0.0,0.0
1556,2020-04-05,11.0,0.0,0.0,0.0
1557,2020-04-06,6.0,0.0,0.0,0.0
1558,2020-04-07,0.0,0.0,0.0,0.0
1559,2020-04-08,0.0,0.0,0.0,0.0
1560,2020-04-09,5.0,0.0,0.0,0.0
1561,2020-04-10,9.0,0.0,0.0,0.0
1562,2020-04-11,6.0,0.0,0.0,0.0
1563,2020-04-12,12.0,0.0,1.0,0.0
1564,2020-04-13,12.0,0.0,0.0,0.0
1565,2020-04-14,7.0,0.0,0.0,0.0
1566,2020-04-15,3.0,0.0,0.0,0.0
1567,2020-04-16,4.0,0.0,0.0,0.0
1568,2020-04-17,0.0,0.0,0.0,0.0
1569,2020-04-18,9.0,0.0,0.0,0.0
1570,2020-04-19,6.0,0.0,0.0,0.0
1571,2020-04-20,11.0,0.0,0.0,0.0
1572,2020-04-21,12.0,0.0,0.0,0.0
1573,2020-04-22,7.0,0.0,0.0,0.0
1574,2020-04-23,12.0,0.0,0.0,0.0
1575,2020-04-24,14.0,0.0,0.0,0.0
1576,2020-04-25,17.0,0.0,0.0,0.0
1577,2020-04-26,16.0,0.0,0.0,0.0
1578,2020-04-27,4.0,0.0,0.0,0.0
1579,2020-04-28,34.0,0.0,0.0,0.0
1580,2020-04-29,25.0,0.0,0.0,0.0
1581,2020-04-30,7.0,0.0,0.0,0.0
1582,2020-05-01,17.0,0.0,0.0,0.0
1583,2020-05-02,8.0,0.0,0.0,0.0
1584,2020-05-03,25.0,0.0,0.0,0.0
1585,2020-05-04,7.0,6.0,0.0,0.0
1586,2020-05-05,9.0,0.0,0.0,0.0
1587,2020-05-06,15.0,0.0,0.0,0.0
1588,2020-05-07,8.0,2.0,0.0,0.0
1589,2020-05-08,17.0,5.0,0.0,0.0
1590,2020-05-09,21.0,5.0,0.0,0.0
1591,2020-05-10,17.0,2.0,0.0,0.0
1592,2020-05-11,15.0,0.0,0.0,0.0
1593,2020-05-12,11.0,8.0,0.0,0.0
1594,2020-05-13,2.0,0.0,0.0,0.0
1595,2020-05-14,4.0,0.0,0.0,0.0
1596,2020-05-15,16.0,7.0,0.0,0.0
1597,2020-05-16,16.0,4.0,0.0,0.0
1598,2020-05-17,20.0,1.0,0.0,0.0
1599,2020-05-18,20.0,0.0,0.0,0.0
1600,2020-05-19,11.0,0.0,0.0,0.0
1601,2020-05-20,13.0,0.0,0.0,0.0
1602,2020-05-21,20.0,0.0,0.0,0.0
1603,2020-05-22,24.0,0.0,0.0,0.0
1604,2020-05-23,16.0,2.0,0.0,0.0
1605,2020-05-24,24.0,0.0,0.0,0.0
1606,2020-05-25,29.0,2.0,0.0,0.0
1607,2020-05-26,15.0,0.0,0.0,0.0
1608,2020-05-27,17.0,0.0,0.0,0.0
1609,2020-05-28,11.0,0.0,0.0,0.0
1610,2020-05-29,18.0,0.0,0.0,0.0
1611,2020-05-30,6.0,2.0,0.0,0.0
1612,2020-05-31,12.0,0.0,0.0,0.0
1613,2020-06-01,7.0,0.0,0.0,0.0
1614,2020-06-02,12.0,0.0,0.0,0.0
1615,2020-06-03,3.0,0.0,0.0,0.0
1616,2020-06-04,3.0,0.0,0.0,0.0
1617,2020-06-05,8.0,0.0,0.0,0.0
1618,2020-06-06,9.0,0.0,0.0,0.0
1619,2020-06-07,13.0,0.0,0.0,0.0
1620,2020-06-08,7.0,0.0,0.0,0.0
1621,2020-06-09,14.0,0.0,0.0,0.0
1622,2020-06-10,5.0,0.0,0.0,0.0
1623,2020-06-11,6.0,6.0,0.0,0.0
1624,2020-06-12,6.0,0.0,0.0,0.0
1625,2020-06-13,3.0,0.0,1.0,0.0
1626,2020-06-14,10.0,0.0,0.0,0.0
1627,2020-06-15,12.0,1.0,1.0,0.0
1628,2020-06-16,6.0,3.0,0.0,0.0
1629,2020-06-17,7.0,2.0,0.0,0.0
1630,2020-06-18,8.0,0.0,1.0,0.0
1631,2020-06-19,6.0,4.0,0.0,0.0
1632,2020-06-20,12.0,0.0,0.0,0.0
1633,2020-06-21,0.0,2.0,0.0,0.0
1634,2020-06-22,13.0,0.0,0.0,0.0
1635,2020-06-23,8.0,0.0,0.0,0.0
1636,2020-06-24,12.0,0.0,0.0,0.0
1637,2020-06-25,15.0,0.0,1.0,0.0
1638,2020-06-26,4.0,0.0,0.0,0.0
1639,2020-06-27,21.0,4.0,0.0,0.0
1640,2020-06-28,15.0,0.0,0.0,0.0
1641,2020-06-29,9.0,0.0,0.0,0.0
1642,2020-06-30,4.0,0.0,0.0,0.0
1643,2020-07-01,11.0,0.0,0.0,0.0
1644,2020-07-02,9.0,0.0,0.0,0.0
1645,2020-07-03,3.0,0.0,0.0,0.0
1646,2020-07-04,16.0,0.0,0.0,0.0
1647,2020-07-05,17.0,1.0,0.0,0.0
1648,2020-07-06,6.0,0.0,0.0,0.0
1649,2020-07-07,7.0,0.0,0.0,0.0
1650,2020-07-08,19.0,0.0,0.0,0.0
1651,2020-07-09,26.0,0.0,0.0,0.0
1652,2020-07-10,19.0,0.0,1.0,0.0
1653,2020-07-11,14.0,8.0,0.0,0.0
1654,2020-07-12,11.0,1.0,0.0,0.0
1655,2020-07-13,26.0,1.0,0.0,0.0
1656,2020-07-14,6.0,0.0,0.0,0.0
1657,2020-07-15,10.0,0.0,0.0,0.0
1658,2020-07-16,8.0,0.0,0.0,0.0
1659,2020-07-17,8.0,2.0,0.0,0.0
1660,2020-07-18,7.0,1.0,0.0,0.0
1661,2020-07-19,7.0,2.0,1.0,0.0
1662,2020-07-20,9.0,1.0,0.0,0.0
1663,2020-07-21,11.0,3.0,0.0,0.0
1664,2020-07-22,9.0,0.0,0.0,0.0
1665,2020-07-23,12.0,0.0,0.0,0.0
1666,2020-07-24,10.0,2.0,0.0,0.0
1667,2020-07-25,10.0,0.0,0.0,0.0
1668,2020-07-26,20.0,2.0,0.0,0.0
1669,2020-07-27,2.0,5.0,0.0,0.0
1670,2020-07-28,9.0,2.0,0.0,0.0
1671,2020-07-29,7.0,0.0,0.0,0.0
1672,2020-07-30,2.0,0.0,0.0,0.0
1673,2020-07-31,18.0,18.0,0.0,0.0
1674,2020-08-01,24.0,0.0,0.0,0.0
1675,2020-08-02,22.0,2.0,0.0,0.0
1676,2020-08-03,22.0,4.0,0.0,0.0
1677,2020-08-04,13.0,1.0,0.0,0.0
1678,2020-08-05,10.0,0.0,0.0,0.0
1679,2020-08-06,2.0,0.0,0.0,0.0
1680,2020-08-07,5.0,0.0,0.0,0.0
1681,2020-08-08,3.0,2.0,0.0,0.0
1682,2020-08-09,10.0,0.0,0.0,0.0
1683,2020-08-10,8.0,0.0,0.0,0.0
1684,2020-08-11,3.0,0.0,0.0,0.0
1685,2020-08-12,4.0,0.0,0.0,0.0
1686,2020-08-13,0.0,0.0,0.0,0.0
1687,2020-08-14,13.0,0.0,0.0,0.0
1688,2020-08-15,11.0,0.0,0.0,0.0
1689,2020-08-16,12.0,14.0,0.0,0.0
1690,2020-08-17,10.0,10.0,0.0,0.0
1691,2020-08-18,7.0,10.0,1.0,0.0
1692,2020-08-19,15.0,1.0,0.0,0.0
1693,2020-08-20,9.0,0.0,0.0,0.0
1694,2020-08-21,11.0,0.0,0.0,0.0
1695,2020-08-22,16.0,1.0,0.0,0.0
1696,2020-08-23,7.0,0.0,0.0,0.0
1697,2020-08-24,4.0,1.0,0.0,0.0
1698,2020-08-25,3.0,0.0,0.0,0.0
1699,2020-08-26,7.0,0.0,0.0,0.0
1700,2020-08-27,6.0,0.0,0.0,0.0
1701,2020-08-28,4.0,0.0,0.0,0.0
1702,2020-08-29,8.0,0.0,0.0,0.0
1703,2020-08-30,9.0,5.0,0.0,0.0
1704,2020-08-31,5.0,1.0,0.0,0.0
1705,2020-09-01,5.0,0.0,0.0,0.0
1706,2020-09-02,6.0,0.0,0.0,0.0
1707,2020-09-03,8.0,0.0,0.0,0.0
1708,2020-09-04,3.0,0.0,0.0,0.0
1709,2020-09-05,6.0,2.0,0.0,0.0
1710,2020-09-06,17.0,11.0,0.0,0.0
1711,2020-09-07,16.0,5.0,0.0,0.0
1712,2020-09-08,25.0,9.0,1.0,0.0
1713,2020-09-09,6.0,2.0,0.0,0.0
1714,2020-09-10,16.0,0.0,0.0,0.0
1715,2020-09-11,9.0,1.0,0.0,0.0
1716,2020-09-12,7.0,1.0,0.0,0.0
1717,2020-09-13,5.0,0.0,0.0,0.0
1718,2020-09-14,5.0,0.0,0.0,0.0
1719,2020-09-15,6.0,0.0,0.0,0.0
1720,2020-09-16,17.0,3.0,0.0,0.0
