Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
luciana,tvui,postPlay,,,2023-05-01 23:34:02
luciana,tvui,playback,,,2023-05-01 23:34:02
luciana,tvui,playback,,,2023-05-01 23:33:57
luciana,tvui,postPlay,,,2023-05-01 23:33:57
luciana,tvui,playback,,,2023-05-01 22:40:39
luciana,tvui,postPlay,,,2023-05-01 22:40:39
luciana,tvui,playback,,,2023-05-01 22:40:34
luciana,tvui,postPlay,,,2023-05-01 22:40:34
luciana,tvui,postPlay,,,2023-05-01 21:52:55
luciana,tvui,playback,,,2023-05-01 21:52:55
luciana,tvui,postPlay,,,2023-05-01 21:52:50
luciana,tvui,playback,,,2023-05-01 21:52:50
luciana,tvui,playback,,,2023-05-01 21:03:19
luciana,tvui,movieDetails,,,2023-05-01 21:03:19
luciana,tvui,playback,,,2023-05-01 04:13:00
luciana,tvui,movieDetails,,,2023-05-01 04:13:00
luciana,tvui,playback,,,2023-05-01 04:12:55
luciana,tvui,postPlay,,,2023-05-01 04:12:55
luciana,tvui,postPlay,,,2023-05-01 04:12:50
luciana,tvui,playback,,,2023-05-01 04:12:50
luciana,tvui,postPlay,,,2023-05-01 03:20:35
luciana,tvui,playback,,,2023-05-01 03:20:35
luciana,tvui,playback,,,2023-05-01 03:20:30
luciana,tvui,postPlay,,,2023-05-01 03:20:30
luciana,tvui,movieDetails,,,2023-05-01 02:30:34
luciana,tvui,playback,,,2023-05-01 02:30:34
luciana,tvui,browseTitles,,,2023-05-01 02:30:32
luciana,tvui,movieDetails,,,2023-05-01 02:30:32
luciana,tvui,movieDetails,,,2023-05-01 02:30:03
luciana,tvui,browseTitles,,,2023-05-01 02:30:03
luciana,tvui,postPlay,,,2023-05-01 02:30:00
luciana,tvui,movieDetails,,,2023-05-01 02:30:00
luciana,tvui,playback,,,2023-05-01 02:29:50
luciana,tvui,postPlay,,,2023-05-01 02:29:50
luciana,tvui,playback,,,2023-05-01 00:59:18
luciana,tvui,movieDetails,,,2023-05-01 00:59:18
luciana,tvui,movieDetails,,,2023-05-01 00:59:16
luciana,tvui,browseTitles,,,2023-05-01 00:59:16
luciana,tvui,browseTitles,,,2023-05-01 00:58:10
luciana,tvui,profilesGate,,,2023-05-01 00:58:10
luciana,tvui,profilesGate,,,2023-05-01 00:58:07
luciana,tvui,movieDetails,,,2023-04-30 20:51:06
luciana,tvui,postPlay,,,2023-04-30 20:51:06
luciana,tvui,postPlay,,,2023-04-30 20:50:23
luciana,tvui,playback,,,2023-04-30 20:50:23
luciana,tvui,postPlay,,,2023-04-30 20:03:44
luciana,tvui,playback,,,2023-04-30 20:03:44
luciana,tvui,playback,,,2023-04-30 20:03:39
luciana,tvui,postPlay,,,2023-04-30 20:03:39
luciana,tvui,postPlay,,,2023-04-30 19:24:45
luciana,tvui,playback,,,2023-04-30 19:24:45
luciana,tvui,playback,,,2023-04-30 19:24:40
luciana,tvui,postPlay,,,2023-04-30 19:24:40
luciana,tvui,episodesSelector,,,2023-04-30 18:33:09
luciana,tvui,playback,,,2023-04-30 18:33:09
luciana,tvui,movieDetails,,,2023-04-30 18:33:02
luciana,tvui,episodesSelector,,,2023-04-30 18:33:02
luciana,tvui,profilesGate,,,2023-04-30 18:32:51
luciana,tvui,movieDetails,,,2023-04-30 18:32:51
luciana,tvui,profilesGate,,,2023-04-30 18:32:50
luciana,tvui,movieDetails,,,2023-04-29 22:00:14
luciana,tvui,profilesGate,,,2023-04-29 22:00:14
luciana,tvui,playback,,,2023-04-29 05:56:04
luciana,tvui,movieDetails,,,2023-04-29 05:56:04
luciana,tvui,postPlay,,,2023-04-29 05:28:32
luciana,tvui,playback,,,2023-04-29 05:28:32
luciana,tvui,playback,,,2023-04-29 05:28:27
luciana,tvui,postPlay,,,2023-04-29 05:28:27
luciana,tvui,postPlay,,,2023-04-29 04:48:30
luciana,tvui,playback,,,2023-04-29 04:48:30
luciana,tvui,playback,,,2023-04-29 04:48:26
luciana,tvui,postPlay,,,2023-04-29 04:48:26
luciana,tvui,playback,,,2023-04-29 03:56:58
luciana,tvui,postPlay,,,2023-04-29 03:56:58
luciana,tvui,playback,,,2023-04-29 03:56:53
luciana,tvui,postPlay,,,2023-04-29 03:56:53
luciana,tvui,playback,,,2023-04-29 03:04:41
