Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
luciana,NFCDCH-02-K5202DWEALKP5Y16FG1VGV159T5FHX,Chrome PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000Z
luciana,NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,Chrome PC (Cadmium),2022-05-10T06:06:59.092Z,2023-05-02T02:51:30.163Z,2022-05-10T06:07:24.964Z,2023-05-02T02:51:30.163Z,2022-05-10T06:06:59.092Z,2023-05-02T02:51:30.163Z,2022-05-10T06:07:24.964Z,2023-05-02T02:51:30.163Z,1970-01-01T00:00:00.000Z
luciana,SSTV-KUE2-0000000000000002998462,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,2022-08-20T21:40:56.115Z,2023-04-13T04:06:38.878Z,2022-08-20T21:41:28.256Z,2023-04-13T04:03:28.967Z,2022-08-20T21:40:56.115Z,2023-04-13T04:06:38.878Z,2022-08-20T21:41:28.256Z,2023-04-13T04:03:28.967Z,1970-01-01T00:00:00.000Z
luciana,NFCDIE-03-K0P7NUMXNKJ4N0M2XJLQC77J5VH7DV,Edge OSS - Windows (Cadmium),,,,,,,,,1970-01-01T00:00:00.000Z
luciana,SSTV-NM21-0000000000000003582328,Samsung CE 2021 Nike-M2 UHD TV Smart TV,2022-02-28T23:38:07.980Z,2023-03-05T20:30:11.079Z,2022-02-28T23:38:07.980Z,2023-03-02T06:06:33.529Z,2022-02-28T23:38:07.980Z,2023-03-05T20:30:11.079Z,2022-02-28T23:38:07.980Z,2023-03-02T06:06:33.529Z,1970-01-01T00:00:00.000Z
luciana,SSTV-KU20-0000000000000005794705,Samsung CE 2020 Kant-S2 UHD TV Smart TV,2021-04-07T22:45:08.736Z,2023-05-02T01:10:50.145Z,2021-05-02T17:02:01.228Z,2023-05-02T01:10:50.145Z,2021-04-07T22:45:08.736Z,2023-05-02T01:10:50.145Z,2021-05-02T17:02:01.228Z,2023-05-02T01:10:50.145Z,1970-01-01T00:00:00.000Z
luciana,NFCDCH-02-JC74V7KE142TR882ECA83VAC24KFLD,Chrome PC (Cadmium),2022-06-22T22:11:44.400Z,2022-12-08T02:43:34.339Z,2022-06-22T22:11:53.985Z,2022-10-09T07:00:20.406Z,2022-06-22T22:11:44.400Z,2022-12-08T02:43:34.339Z,2022-06-22T22:11:53.985Z,2022-10-09T07:00:20.406Z,1970-01-01T00:00:00.000Z
luciana,SSTV-KU20-0000000000000007282214,Samsung CE 2020 Kant-S2 UHD TV Smart TV,2021-04-30T04:32:47.993Z,2023-04-27T05:02:29.444Z,2021-05-02T18:22:56.040Z,2023-04-27T05:02:29.444Z,2021-04-30T04:32:47.993Z,2023-04-27T05:02:29.444Z,2021-05-02T18:22:56.040Z,2023-04-27T05:02:29.444Z,1970-01-01T00:00:00.000Z
luciana,NFCDCH-LX-JN0V2A7FYGPRLXD85EJ5JN8P2Y45FL,Netflix Chrome Linux (Cadmium) HTML 5,2022-10-19T21:30:22.556Z,2023-05-02T12:18:31.340Z,2022-10-19T21:30:22.556Z,2023-04-26T19:16:57.087Z,2022-10-19T21:30:22.556Z,2023-05-02T12:18:31.340Z,2022-10-19T21:30:22.556Z,2023-04-26T19:16:57.087Z,1970-01-01T00:00:00.000Z
luciana,NFCDCH-LX-JH2N2JHTDWRRAQJRHET5KNRA014WY6,Netflix Chrome Linux (Cadmium) HTML 5,2022-08-21T00:15:53.718Z,2022-10-03T02:32:22.344Z,2022-08-21T00:16:12.532Z,2022-10-03T02:32:22.344Z,2022-08-21T00:15:53.718Z,2022-10-03T02:32:22.344Z,2022-08-21T00:16:12.532Z,2022-10-03T02:32:22.344Z,1970-01-01T00:00:00.000Z
luciana,NFCDCH-02-GTY82T94CG09TGT0G9DY4L13K00YWN,Chrome PC (Cadmium),2021-05-10T22:36:52.176Z,2022-06-02T22:58:44.591Z,2021-05-10T22:36:52.176Z,2022-05-26T00:16:19.916Z,2021-05-10T22:36:52.176Z,2022-06-02T22:58:44.591Z,2021-05-10T22:36:52.176Z,2022-05-26T00:16:19.916Z,1970-01-01T00:00:00.000Z
luciana,NFCDCH-02-HLN0TA862LHAK7NQH8P90CFNDXTV6X,Chrome PC (Cadmium),2021-11-08T02:48:03.388Z,2022-05-02T08:18:40.630Z,2021-11-08T02:48:03.388Z,2022-05-02T07:57:40.918Z,2021-11-08T02:48:03.388Z,2022-05-02T08:18:40.630Z,2021-11-08T02:48:03.388Z,2022-05-02T07:57:40.918Z,1970-01-01T00:00:00.000Z
luciana,NFCDCH-02-HA3C18RR21VN375Q4G3EGNMPYCD53V,Chrome PC (Cadmium),2021-05-16T23:35:54.528Z,2022-02-11T00:40:13.884Z,2021-05-16T23:35:54.528Z,2022-02-11T00:39:20.128Z,2021-05-16T23:35:54.528Z,2022-02-11T00:40:13.884Z,2021-05-16T23:35:54.528Z,2022-02-11T00:39:20.128Z,1970-01-01T00:00:00.000Z
luciana,SSTV-NVT5-0000000000000030699230,Samsung 2015 NT14M DTV Smart TV,2022-01-08T02:51:59.737Z,2023-04-28T06:08:07.128Z,2022-01-08T02:53:46.595Z,2023-04-28T05:26:03.576Z,2022-01-08T02:51:59.737Z,2023-04-28T06:08:07.128Z,2022-01-08T02:53:46.595Z,2023-04-28T05:26:03.576Z,1970-01-01T00:00:00.000Z
luciana,NFCDCH-LX-GWH52ENQ7WMTHDP2JJY6JQQN53P5L3,Netflix Chrome Linux (Cadmium) HTML 5,2021-06-07T03:32:37.464Z,2022-01-13T13:48:30.028Z,2021-06-07T03:32:37.464Z,2022-01-13T13:48:30.028Z,2021-06-07T03:32:37.464Z,2022-01-13T13:48:30.028Z,2021-06-07T03:32:37.464Z,2022-01-13T13:48:30.028Z,1970-01-01T00:00:00.000Z
luciana,NFANDROID1-PRV-P-L3-SAMSUSM-G975F-22589-0F1A2B1DDC793B418F7EDEC7B33900B5251A9E8A001D0A2813B42CF93473EDE85,Android DefaultWidevineL3Phone Android Phone,2021-11-17T20:52:02.689Z,2021-11-17T20:52:02.689Z,2021-11-17T20:52:02.689Z,2021-11-17T20:52:02.689Z,2021-11-17T20:52:02.689Z,2021-11-17T20:52:02.689Z,2021-11-17T20:52:02.689Z,2021-11-17T20:52:02.689Z,1970-01-01T00:00:00.000Z
luciana,NFAPPL-02-IPHONE11=8-337FCE214DFB23F1C3F24816644FE8396B22A7160499D1DC7645D4599D978DEC,Apple iPhone XR,2021-07-20T22:48:30.152Z,2023-04-03T15:52:58.880Z,2021-07-22T01:07:35.236Z,2023-04-03T15:52:58.880Z,2021-07-20T22:48:30.152Z,2023-04-03T15:52:58.880Z,2021-07-22T01:07:35.236Z,2023-04-03T15:52:58.880Z,1970-01-01T00:00:00.000Z
joão paulo,NFCDCH-LX-JN0V2A7FYGPRLXD85EJ5JN8P2Y45FL,Netflix Chrome Linux (Cadmium) HTML 5,2022-10-19T21:30:22.556Z,2023-05-02T12:18:31.340Z,2022-10-19T21:30:22.556Z,2023-04-26T19:16:57.087Z,2022-10-19T21:30:22.556Z,2023-05-02T12:18:31.340Z,2022-10-19T21:30:22.556Z,2023-04-26T19:16:57.087Z,
joão paulo,NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,Chrome PC (Cadmium),2022-05-10T06:06:59.092Z,2023-05-02T02:51:30.163Z,2022-05-10T06:07:24.964Z,2023-05-02T02:51:30.163Z,2022-05-10T06:06:59.092Z,2023-05-02T02:51:30.163Z,2022-05-10T06:07:24.964Z,2023-05-02T02:51:30.163Z,
Ana Cecília,SSTV-NVT5-0000000000000030699230,Samsung 2015 NT14M DTV Smart TV,2022-01-08T02:51:59.737Z,2023-04-28T06:08:07.128Z,2022-01-08T02:53:46.595Z,2023-04-28T05:26:03.576Z,2022-01-08T02:51:59.737Z,2023-04-28T06:08:07.128Z,2022-01-08T02:53:46.595Z,2023-04-28T05:26:03.576Z,
Ana Cecília,SSTV-KU20-0000000000000007282214,Samsung CE 2020 Kant-S2 UHD TV Smart TV,2021-04-30T04:32:47.993Z,2023-04-27T05:02:29.444Z,2021-05-02T18:22:56.040Z,2023-04-27T05:02:29.444Z,2021-04-30T04:32:47.993Z,2023-04-27T05:02:29.444Z,2021-05-03T03:02:07.332Z,2023-04-27T05:02:29.444Z,
