Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFCDCH-LX-JN0V2A7FYGPRLXD85EJ5JN8P2Y45FL,BR,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,200.137.65.104,Espírito Santo,2023-05-02T12:18:32.681Z
SSTV-KU20-0000000000000005794705,BR,Samsung CE 2020 Kant-S2 UHD TV Smart TV,Samsung CE 2020 Kant-S2 UHD TV Smart TV,177.91.219.179,Espírito Santo,2023-05-01T21:03:20.612Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:e9af:12e7:9763:e3b9,Espírito Santo,2023-04-30T23:47:57.013Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:420:4400:d140:b9f4:b050:e56b,Espírito Santo,2023-04-30T03:46:59.407Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:341a:da0e:940f:fdee,Espírito Santo,2023-04-29T14:22:33.270Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:25c4:71bf:6739:7882,Espírito Santo,2023-04-29T02:35:52.591Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:38a7:ef52:92f4:5b2d,Espírito Santo,2023-04-28T21:48:07.443Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:59a5:b334:726d:e914,Espírito Santo,2023-04-28T07:53:03.968Z
SSTV-NVT5-0000000000000030699230,BR,Samsung 2015 NT14M DTV Smart TV,Samsung 2015 NT14M DTV Smart TV,177.91.221.127,Espírito Santo,2023-04-28T04:00:40.647Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:59a5:b334:726d:e914,Espírito Santo,2023-04-28T01:06:19.518Z
SSTV-KU20-0000000000000007282214,BR,Samsung CE 2020 Kant-S2 UHD TV Smart TV,Samsung CE 2020 Kant-S2 UHD TV Smart TV,177.91.219.179,Espírito Santo,2023-04-27T03:22:12.188Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:5554:96b4:667:fd8,Espírito Santo,2023-04-27T03:12:24.905Z
NFCDCH-LX-JN0V2A7FYGPRLXD85EJ5JN8P2Y45FL,BR,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,2804:11e4:413:f800:ee35:ebb9:cc94:28dd,Espírito Santo,2023-04-26T19:16:51.284Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:b1c3:e605:634f:e9d0,Espírito Santo,2023-04-26T00:08:55.585Z
